symbol_id,date,open,high,low,close,volume
3,2018-12-26,60.95,63.23,60.67,63.08,16646238
3,2018-12-27,62.62,63.24,61.62,63.2,11308081
3,2018-12-28,63.31,64.12,63.1747,63.39,7712127
6,2018-10-01,2.65,2.67,2.31,2.32,12055000
6,2018-10-02,2.19,2.23,1.9,1.93,18027700
6,2018-10-03,2,2.345,1.98,2.33,23787300
6,2018-10-04,2.29,2.33,2.13,2.22,14059800
6,2018-10-05,2,2.2,2,2.09,10471800
6,2018-10-09,2.04,2.15,1.98,2.08,7242100
6,2018-10-10,2.02,2.1,1.98,2.08,5341100
6,2018-10-11,2.04,2.11,1.97,2.11,5339900
6,2018-10-12,2.13,2.37,2.1,2.29,7422200
6,2018-10-15,2.37,2.85,2.35,2.82,10135700
6,2018-10-16,2.99,3.12,2.42,2.44,20331300
6,2018-10-17,2.2,2.3,2.06,2.24,13695500
6,2018-10-18,2.27,2.45,2.18,2.41,9242500
6,2018-10-19,2.4,2.42,2.12,2.22,5955500
6,2018-10-22,2.16,2.17,1.77,1.91,9980900
6,2018-10-23,1.65,1.87,1.47,1.68,11422100
6,2018-10-24,1.79,1.84,1.66,1.74,5128200
6,2018-10-25,1.66,2.15,1.66,2.1,10273400
6,2018-10-26,2.03,2.12,1.97,2.05,5249200
6,2018-10-29,2.12,2.14,1.71,1.76,6108400
6,2018-10-30,1.71,1.93,1.64,1.81,4267000
6,2018-10-31,1.89,1.95,1.79,1.82,5974700
6,2018-11-01,1.81,1.84,1.67,1.74,4869100
6,2018-11-02,1.68,1.81,1.68,1.79,2953900
6,2018-11-05,1.8,1.84,1.74,1.82,2235800
6,2018-11-06,1.83,2.01,1.78,1.88,4210500
6,2018-11-07,1.95,2.01,1.87,1.97,4398300
6,2018-11-08,1.96,1.97,1.84,1.85,2783300
6,2018-11-09,1.82,1.84,1.75,1.75,2167000
6,2018-11-12,1.78,1.81,1.6,1.64,3222100
6,2018-11-13,1.64,1.72,1.6,1.65,2866400
6,2018-11-14,1.59,1.59,1.39,1.44,5177500
6,2018-11-15,1.47,1.6,1.4,1.59,3768600
6,2018-11-16,1.61,1.64,1.49,1.5,2456000
6,2018-11-19,1.45,1.52,1.43,1.48,1536300
6,2018-11-20,1.41,1.47,1.36,1.42,3053800
6,2018-11-21,1.44,1.49,1.42,1.46,1324700
6,2018-11-22,1.47,1.47,1.41,1.41,865400
6,2018-11-23,1.42,1.45,1.39,1.45,962700
6,2018-11-26,1.46,1.47,1.37,1.37,1110500
6,2018-11-27,1.33,1.38,1.23,1.24,3155400
6,2018-11-28,1.25,1.35,1.22,1.28,1794000
6,2018-11-29,1.28,1.28,1.215,1.24,1230500
6,2018-11-30,1.21,1.415,1.21,1.39,2887500
6,2018-12-03,1.47,1.51,1.31,1.4,4204700
6,2018-12-04,1.35,1.36,1.27,1.36,1721300
6,2018-12-05,1.32,1.38,1.2,1.2,2638900
6,2018-12-06,1.2,1.28,1.16,1.23,3087000
6,2018-12-07,1.28,1.31,1.19,1.26,2875200
6,2018-12-10,1.26,1.32,1.23,1.31,1986100
6,2018-12-11,1.31,1.36,1.29,1.34,1498500
6,2018-12-12,1.33,1.35,1.27,1.29,1335000
6,2018-12-13,1.3,1.32,1.21,1.23,1079500
6,2018-12-14,1.21,1.25,1.18,1.23,1095800
6,2018-12-17,1.2,1.27,1.19,1.2,919300
6,2018-12-18,1.2,1.22,1.1,1.12,2253700
6,2018-12-19,1.09,1.11,1.02,1.02,2490200
6,2018-12-20,0.98,0.99,0.81,0.81,7916500
6,2018-12-21,0.86,0.89,0.75,0.84,5806700
6,2018-12-24,0.84,0.86,0.77,0.85,1960200
6,2018-12-27,0.85,0.89,0.83,0.85,1319900
6,2018-12-28,0.86,0.86,0.8,0.84,1699100
7,2018-10-01,24.84,25.09,24.14,24.57,639700
7,2018-10-02,24.3,24.3,22.73,23.04,954600
7,2018-10-03,23.26,23.97,22.87,23.96,559600
7,2018-10-04,23.98,23.98,23.18,23.54,489200
7,2018-10-05,23.64,23.86,22.77,23.5,541900
7,2018-10-09,24,24.17,23.4,23.49,587000
7,2018-10-10,23.5,24.16,22.76,23.72,852600
7,2018-10-11,23.11,23.61,22.88,23.2,686200
7,2018-10-12,23.65,24.23,23.5,24.23,1022900
7,2018-10-15,24.65,26.09,24.58,26.05,1225300
7,2018-10-16,26.5,27,24.6,24.82,2030400
7,2018-10-17,23.66,24.63,22.79,24.3,1084300
7,2018-10-18,24.38,24.98,23.99,24.11,838300
7,2018-10-19,24.32,24.66,22.54,22.93,978700
7,2018-10-22,22.88,23.08,19.49,20.27,2314500
7,2018-10-23,18.02,20.75,18.01,19.87,2320700
7,2018-10-24,20.47,20.56,18.55,18.66,1134200
7,2018-10-25,18.6,19.85,18.53,19.43,532700
7,2018-10-26,19,19.69,18.75,19.07,652300
7,2018-10-29,19.36,19.53,16.68,17.07,992600
7,2018-10-30,16.63,17.68,16.34,17.27,705600
7,2018-10-31,17.88,18.71,17.6,18.57,625900
7,2018-11-01,18.75,19,18.14,18.76,576200
7,2018-11-02,18.87,19.27,18.69,19.15,533200
7,2018-11-05,19.38,19.88,18.82,19.85,461300
7,2018-11-06,20.04,20.97,19.7,20.53,1222800
7,2018-11-07,21.07,22.4,20.43,22.2,942000
7,2018-11-08,21.89,21.89,20.77,20.9,903800
7,2018-11-09,20.56,20.6,19.65,19.81,433800
7,2018-11-12,20.1,20.3,18.93,19.47,384700
7,2018-11-13,19.43,19.66,18.81,18.9,255700
7,2018-11-14,18.5,18.6,17.4,18.02,675500
7,2018-11-15,17.88,19.09,17.74,18.89,467300
7,2018-11-16,18.84,19.01,18.42,18.59,314700
7,2018-11-19,18.51,18.53,17.59,17.72,517900
7,2018-11-20,17.12,17.93,16.9,17.37,576200
7,2018-11-21,17.66,18.07,17.63,17.9,304900
7,2018-11-22,17.95,17.95,17.5,17.75,194500
7,2018-11-23,17.64,18.14,17.64,18.05,170500
7,2018-11-26,18.45,18.46,17.29,17.33,462900
7,2018-11-27,17.35,17.55,17.04,17.22,506000
7,2018-11-28,17.32,17.77,17.3,17.77,356200
7,2018-11-29,17.72,17.77,17.25,17.46,205100
7,2018-11-30,17.5,17.55,17.23,17.51,389200
7,2018-12-03,17.57,17.91,16.56,16.99,795300
7,2018-12-04,16.9,16.92,16.22,16.25,564300
7,2018-12-05,16.33,16.75,15.05,15.05,657300
7,2018-12-06,15.15,16.17,15.05,16.15,671900
7,2018-12-07,17.23,17.42,16.48,16.81,575100
7,2018-12-10,16.93,17.11,16.34,16.72,568400
7,2018-12-11,16.96,17.11,16.66,17.07,894400
7,2018-12-12,17.12,17.17,16.48,16.48,578800
7,2018-12-13,16.63,16.69,15.57,15.71,645300
7,2018-12-14,15.58,16.14,15.35,15.78,502900
7,2018-12-17,15.72,16.01,15.12,15.28,736500
7,2018-12-18,15.8,15.8,15.25,15.54,610500
7,2018-12-19,15.66,15.77,14.92,14.95,700000
7,2018-12-20,15,15.15,14.36,14.61,1181800
